scraper,mean_desc_length,var_desc_length
alibaba,977.8086445,481137.6032
amfibi,345.7175594,92649.83367
b2bindex,627.7591837,128638.9869
bloomberg,418.7342291,190843.3868
crmz,742.0819876,42392.271
ec21,651.6131599,249269.7232
ecvv,866.1101778,366301.5275
europages,118.4470113,28449.1797
globalmarket,1127.534402,437563.9472
gongchang,606.459461,345930.6019
hktdc,459.1993397,174764.9706
hoovers,39.04511325,6761.910649
iqs,369.9726277,33511.58791
israelwtc,752.6538462,455797.476
kompass,167.2853813,54960.85302
linkedin,193.9958316,25059.26361
made_in_china,1421.553936,488147.2537
qmed,348.7455621,40762.14321
rusmarket,943.5157531,342283.8526
thomasnet,457.9817104,91742.07114
toboc,848.3980344,421332.5358
topbuysell,603.3953488,406577.7007
tradekey,761.3765891,406159.5552
wikipedia,875.506993,734675.8368
yahoo,1056.11828,342373.1352
zoominfo,692.2093738,552488.5253